date,new,cum,newdeath,cumdeath,
30/01/2020,5,5,0,0,
31/01/2020,0,5,0,0,
01/02/2020,1,6,0,0,
02/02/2020,0,6,1,1,
03/02/2020,0,6,0,1,
04/02/2020,1,7,0,1,
05/02/2020,0,7,0,1,
06/02/2020,0,7,0,1,
07/02/2020,0,7,0,1,
08/02/2020,0,7,0,1,
09/02/2020,0,7,0,1,
10/02/2020,0,7,0,1,
11/02/2020,0,7,0,1,
12/02/2020,0,7,0,1,
13/02/2020,0,7,0,1,
14/02/2020,0,7,0,1,
15/02/2020,0,7,0,1,
16/02/2020,0,7,0,1,
17/02/2020,0,7,0,1,
18/02/2020,0,7,0,1,
19/02/2020,0,7,0,1,
20/02/2020,0,7,0,1,
21/02/2020,0,7,0,1,
22/02/2020,0,7,0,1,
23/02/2020,0,7,0,1,
24/02/2020,0,7,0,1,
25/02/2020,0,7,0,1,
26/02/2020,0,7,0,1,
27/02/2020,0,7,0,1,
28/02/2020,0,7,0,1,
29/02/2020,0,7,0,1,
01/03/2020,0,7,0,1,
02/03/2020,0,7,0,1,
03/03/2020,0,7,0,1,
04/03/2020,0,7,0,1,
05/03/2020,0,7,0,1,
06/03/2020,2,9,0,1,
07/03/2020,1,10,0,1,
08/03/2020,4,14,0,1,
09/03/2020,14,28,0,1,
10/03/2020,9,37,0,1,
11/03/2020,16,53,0,1,
12/03/2020,3,56,1,2,
13/03/2020,0,56,0,2,
14/03/2020,12,68,0,2,
15/03/2020,76,144,10,12,
16/03/2020,2,146,0,12,
17/03/2020,45,191,0,12,
18/03/2020,0,191,2,14,
19/03/2020,26,217,3,17,
20/03/2020,13,230,1,18,
21/03/2020,77,307,1,19,
22/03/2020,73,380,6,25,
23/03/2020,16,396,8,33,
24/03/2020,66,462,0,33,
25/03/2020,174,636,5,38,
26/03/2020,71,707,7,45,
27/03/2020,0,707,0,45,
28/03/2020,368,1075,23,68,
29/03/2020,0,1075,0,68,
30/03/2020,471,1546,10,78,
31/03/2020,0,1546,0,78,
01/04/2020,765,2311,18,96,
02/04/2020,0,2311,0,96,
03/04/2020,322,2633,11,107,
04/04/2020,385,3018,29,136,
05/04/2020,76,3094,8,144,
06/04/2020,152,3246,8,152,
07/04/2020,414,3660,11,163,
08/04/2020,210,3870,19,182,
09/04/2020,206,4076,21,203,
10/04/2020,0,4076,0,203,
11/04/2020,352,4428,44,247,
12/04/2020,220,4648,50,297,
13/04/2020,284,4932,18,315,
14/04/2020,291,5223,20,335,
15/04/2020,0,5223,0,335,
16/04/2020,437,5660,27,362,
17/04/2020,0,5660,0,362,
18/04/2020,218,5878,25,387,
19/04/2020,209,6087,10,397,
20/04/2020,172,6259,12,409,
21/04/2020,200,6459,19,428,
22/04/2020,140,6599,9,437,
23/04/2020,111,6710,9,446,
24/04/2020,271,6981,16,462,
25/04/2020,211,7192,15,477,
26/04/2020,102,7294,17,494,
27/04/2020,285,7579,7,501,
28/04/2020,198,7777,10,511,
29/04/2020,181,7958,19,530,
30/04/2020,254,8212,28,558,
01/05/2020,276,8488,10,568,
02/05/2020,284,8772,11,579,
03/05/2020,156,8928,24,603,
04/05/2020,295,9223,4,607,
05/05/2020,262,9485,16,623,
06/05/2020,199,9684,14,637,
07/05/2020,320,10004,21,658,
08/05/2020,339,10343,27,685,
09/05/2020,120,10463,11,696,
10/05/2020,147,10610,8,704,
11/05/2020,184,10794,15,719,
12/05/2020,292,11086,7,726,
13/05/2020,264,11350,25,751,
14/05/2020,268,11618,21,772,
15/05/2020,258,11876,18,790,
16/05/2020,429,12305,27,817,
17/05/2020,208,12513,7,824,
18/05/2020,205,12718,7,831,
19/05/2020,0,12718,0,831,
20/05/2020,224,12942,6,837,
21/05/2020,492,13434,9,846,
22/05/2020,163,13597,11,857,
23/05/2020,0,13597,0,857,
24/05/2020,180,13777,6,863,
25/05/2020,258,14035,5,868,
26/05/2020,284,14319,5,873,
27/05/2020,350,14669,13,886,
28/05/2020,380,15049,18,904,
29/05/2020,539,15588,17,921,
30/05/2020,1046,16634,21,942,
31/05/2020,1452,18086,15,957,
01/06/2020,0,18086,0,957,
02/06/2020,552,18638,3,960,
03/06/2020,359,18997,6,966,
04/06/2020,751,19748,8,974,
05/06/2020,634,20382,10,984,
06/06/2020,244,20626,3,987,
07/06/2020,714,21340,7,994,
08/06/2020,555,21895,9,1003,
09/06/2020,579,22474,8,1011,
10/06/2020,518,22992,6,1017,
11/06/2020,740,23732,10,1027,
12/06/2020,443,24175,9,1036,
13/06/2020,612,24787,16,1052,
14/06/2020,605,25392,22,1074,
15/06/2020,538,25930,14,1088,
16/06/2020,490,26420,10,1098,
17/06/2020,361,26781,5,1103,
18/06/2020,457,27238,5,1108,
19/06/2020,561,27799,8,1116,
20/06/2020,660,28459,14,1130,
21/06/2020,941,29400,20,1150,
22/06/2020,652,30052,19,1169,
23/06/2020,630,30682,8,1177,
24/06/2020,1143,31825,9,1186,
25/06/2020,470,32295,18,1204,
26/06/2020,774,33069,8,1212,
27/06/2020,1004,34073,12,1224,
28/06/2020,730,34803,12,1236,
29/06/2020,652,35455,8,1244,
30/06/2020,983,36438,11,1255,
01/07/2020,1076,37514,11,1266,
02/07/2020,997,38511,4,1270,
03/07/2020,294,38805,4,1274,
04/07/2020,1531,40336,6,1280,
05/07/2020,1494,41830,10,1290,
06/07/2020,2424,44254,7,1297,
07/07/2020,2079,46333,6,1303,
08/07/2020,1540,47873,6,1309,
09/07/2020,2486,50359,5,1314,
10/07/2020,1395,51754,4,1318,
11/07/2020,1160,52914,42,1360,
12/07/2020,1308,54222,12,1372,
13/07/2020,2037,56259,162,1534,
14/07/2020,747,57006,65,1599,
15/07/2020,539,57545,4,1603,
16/07/2020,1305,58850,11,1614,
17/07/2020,2416,61266,29,1643,
18/07/2020,1735,63001,17,1660,
19/07/2020,2303,65304,113,1773,
20/07/2020,2152,67456,58,1831,
21/07/2020,1442,68898,4,1835,
22/07/2020,1866,70764,2,1837,
23/07/2020,1505,72269,6,1843,
24/07/2020,2121,74390,28,1871,
25/07/2020,2054,76444,8,1879,
26/07/2020,1968,78412,18,1897,
27/07/2020,2036,80448,35,1932,
28/07/2020,1592,82040,13,1945,
29/07/2020,1633,83673,2,1947,
30/07/2020,1813,85486,15,1962,
31/07/2020,3888,89374,21,1983,
01/08/2020,3980,93354,40,2023,
02/08/2020,4878,98232,16,2039,
03/08/2020,4953,103185,20,2059,
04/08/2020,3145,106330,45,2104,
05/08/2020,6263,112593,11,2115,
06/08/2020,3387,115980,8,2123,
07/08/2020,3480,119460,27,2150,
08/08/2020,3294,122754,18,2168,
09/08/2020,4131,126885,41,2209,
10/08/2020,3028,129913,61,2270,
11/08/2020,6725,136638,23,2293,
12/08/2020,2900,139538,19,2312,
13/08/2020,4211,143749,92,2404,
14/08/2020,3777,147526,22,2426,
15/08/2020,6134,153660,16,2442,
16/08/2020,4258,157918,158,2600,
17/08/2020,3335,161253,65,2665,
18/08/2020,3221,164474,16,2681,
19/08/2020,4739,169213,6,2687,
20/08/2020,4561,173774,108,2795,
21/08/2020,4248,178022,88,2883,
22/08/2020,4343,182365,57,2940,
23/08/2020,4884,187249,26,2966,
24/08/2020,2352,189601,32,2998,
25/08/2020,4651,194252,12,3010,
26/08/2020,2912,197164,28,3038,
27/08/2020,5197,202361,99,3137,
28/08/2020,3220,205581,97,3234,
29/08/2020,3963,209544,91,3325,
30/08/2020,3587,213131,94,3419,
31/08/2020,4265,217396,101,3520,
01/09/2020,3423,220819,38,3558,
02/09/2020,3445,224264,39,3597,
03/09/2020,2176,226440,26,3623,
04/09/2020,1963,228403,65,3688,
05/09/2020,3669,232072,49,3737,
06/09/2020,2498,234570,53,3790,
07/09/2020,2795,237365,85,3875,
08/09/2020,1362,238727,15,3890,
09/09/2020,3260,241987,26,3916,
10/09/2020,3156,245143,70,3986,
11/09/2020,3804,248947,80,4066,
12/09/2020,4017,252964,42,4108,
13/09/2020,4899,257863,184,4292,
14/09/2020,3353,261216,79,4371,
15/09/2020,4672,265888,259,4630,
16/09/2020,3519,269407,33,4663,
17/09/2020,3527,272934,69,4732,
18/09/2020,3355,276289,53,4785,
19/09/2020,3237,279526,45,4830,
20/09/2020,3934,283460,100,4930,
21/09/2020,3283,286743,54,4984,
22/09/2020,3447,290190,15,4999,
23/09/2020,1599,291789,50,5049,
24/09/2020,2802,294591,42,5091,
25/09/2020,2164,296755,36,5127,
26/09/2020,2606,299361,69,5196,
27/09/2020,1895,301256,88,5284,
28/09/2020,2970,304226,60,5344,
29/09/2020,3062,307288,37,5381,
30/09/2020,2015,309303,67,5448,
01/10/2020,2391,311694,56,5504,
02/10/2020,2385,314079,58,5562,
03/10/2020,2599,316678,54,5616,
04/10/2020,2652,319330,62,5678,
05/10/2020,3167,322497,98,5776,
06/10/2020,2265,324762,64,5840,
07/10/2020,2071,326833,25,5865,
08/10/2020,2804,329637,60,5925,
09/10/2020,2232,331869,144,6069,
10/10/2020,2901,334770,83,6152,
11/10/2020,2156,336926,86,6238,
12/10/2020,2415,339341,83,6321,
13/10/2020,3475,342816,11,6332,
14/10/2020,1897,344713,40,6372,
15/10/2020,1823,346536,77,6449,
16/10/2020,2162,348698,48,6497,
17/10/2020,3052,351750,34,6531,
18/10/2020,2588,354338,72,6603,
19/10/2020,2280,356618,49,6652,
20/10/2020,2551,359169,23,6675,
21/10/2020,1606,360775,15,6690,
22/10/2020,1468,362243,57,6747,
23/10/2020,1645,363888,36,6783,
24/10/2020,1911,365799,132,6915,
25/10/2020,2020,367819,19,6934,
26/10/2020,2209,370028,43,6977,
27/10/2020,1602,371630,62,7039,
28/10/2020,1514,373144,14,7053,
