Date_reported,time,new,cum,newdeath,cumdeath
03/01/2020,1,0,0,0,0
04/01/2020,2,0,0,0,0
05/01/2020,3,0,0,0,0
06/01/2020,4,0,0,0,0
07/01/2020,5,0,0,0,0
08/01/2020,6,0,0,0,0
09/01/2020,7,0,0,0,0
10/01/2020,8,0,0,0,0
11/01/2020,9,0,0,0,0
12/01/2020,10,0,0,0,0
13/01/2020,11,0,0,0,0
14/01/2020,12,0,0,0,0
15/01/2020,13,0,0,0,0
16/01/2020,14,0,0,0,0
17/01/2020,15,0,0,0,0
18/01/2020,16,0,0,0,0
19/01/2020,17,0,0,0,0
20/01/2020,18,0,0,0,0
21/01/2020,19,0,0,0,0
22/01/2020,20,0,0,0,0
23/01/2020,21,0,0,0,0
24/01/2020,22,0,0,0,0
25/01/2020,23,0,0,0,0
26/01/2020,24,0,0,0,0
27/01/2020,25,0,0,0,0
28/01/2020,26,0,0,0,0
29/01/2020,27,0,0,0,0
30/01/2020,28,5,5,0,0
31/01/2020,29,0,5,0,0
01/02/2020,30,1,6,0,0
02/02/2020,31,0,6,1,1
03/02/2020,32,0,6,0,1
04/02/2020,33,1,7,0,1
05/02/2020,34,0,7,0,1
06/02/2020,35,0,7,0,1
07/02/2020,36,0,7,0,1
08/02/2020,37,0,7,0,1
09/02/2020,38,0,7,0,1
10/02/2020,39,0,7,0,1
11/02/2020,40,0,7,0,1
12/02/2020,41,0,7,0,1
13/02/2020,42,0,7,0,1
14/02/2020,43,0,7,0,1
15/02/2020,44,0,7,0,1
16/02/2020,45,0,7,0,1
17/02/2020,46,0,7,0,1
18/02/2020,47,0,7,0,1
19/02/2020,48,0,7,0,1
20/02/2020,49,0,7,0,1
21/02/2020,50,0,7,0,1
22/02/2020,51,0,7,0,1
23/02/2020,52,0,7,0,1
24/02/2020,53,0,7,0,1
25/02/2020,54,0,7,0,1
26/02/2020,55,0,7,0,1
27/02/2020,56,0,7,0,1
28/02/2020,57,0,7,0,1
29/02/2020,58,0,7,0,1
01/03/2020,59,0,7,0,1
02/03/2020,60,0,7,0,1
03/03/2020,61,0,7,0,1
04/03/2020,62,0,7,0,1
05/03/2020,63,0,7,0,1
06/03/2020,64,2,9,0,1
07/03/2020,65,1,10,0,1
08/03/2020,66,4,14,0,1
09/03/2020,67,14,28,0,1
10/03/2020,68,9,37,0,1
11/03/2020,69,16,53,0,1
12/03/2020,70,3,56,1,2
13/03/2020,71,0,56,0,2
14/03/2020,72,12,68,0,2
15/03/2020,73,76,144,10,12
16/03/2020,74,2,146,0,12
17/03/2020,75,45,191,0,12
18/03/2020,76,0,191,2,14
19/03/2020,77,26,217,3,17
20/03/2020,78,13,230,1,18
21/03/2020,79,77,307,1,19
22/03/2020,80,73,380,6,25
23/03/2020,81,16,396,8,33
24/03/2020,82,66,462,0,33
25/03/2020,83,174,636,5,38
26/03/2020,84,71,707,7,45
27/03/2020,85,0,707,0,45
28/03/2020,86,368,1075,23,68
29/03/2020,87,0,1075,0,68
30/03/2020,88,471,1546,10,78
31/03/2020,89,0,1546,0,78
01/04/2020,90,765,2311,18,96
02/04/2020,91,0,2311,0,96
03/04/2020,92,322,2633,11,107
04/04/2020,93,385,3018,29,136
05/04/2020,94,76,3094,8,144
06/04/2020,95,152,3246,8,152
07/04/2020,96,414,3660,11,163
08/04/2020,97,210,3870,19,182
09/04/2020,98,206,4076,21,203
10/04/2020,99,0,4076,0,203
11/04/2020,100,352,4428,44,247
12/04/2020,101,220,4648,50,297
13/04/2020,102,284,4932,18,315
14/04/2020,103,291,5223,20,335
15/04/2020,104,0,5223,0,335
16/04/2020,105,437,5660,27,362
17/04/2020,106,0,5660,0,362
18/04/2020,107,218,5878,25,387
19/04/2020,108,209,6087,10,397
20/04/2020,109,172,6259,12,409
21/04/2020,110,200,6459,19,428
22/04/2020,111,140,6599,9,437
23/04/2020,112,111,6710,9,446
24/04/2020,113,271,6981,16,462
25/04/2020,114,211,7192,15,477
26/04/2020,115,102,7294,17,494
27/04/2020,116,285,7579,7,501
28/04/2020,117,198,7777,10,511
29/04/2020,118,181,7958,19,530
30/04/2020,119,254,8212,28,558
01/05/2020,120,276,8488,10,568
02/05/2020,121,284,8772,11,579
03/05/2020,122,156,8928,24,603
04/05/2020,123,295,9223,4,607
05/05/2020,124,262,9485,16,623
06/05/2020,125,199,9684,14,637
07/05/2020,126,320,10004,21,658
08/05/2020,127,339,10343,27,685
09/05/2020,128,120,10463,11,696
10/05/2020,129,147,10610,8,704
11/05/2020,130,184,10794,15,719
12/05/2020,131,292,11086,7,726
13/05/2020,132,264,11350,25,751
14/05/2020,133,268,11618,21,772
15/05/2020,134,258,11876,18,790
16/05/2020,135,429,12305,27,817
17/05/2020,136,208,12513,7,824
18/05/2020,137,205,12718,7,831
19/05/2020,138,0,12718,0,831
20/05/2020,139,224,12942,6,837
21/05/2020,140,492,13434,9,846
22/05/2020,141,163,13597,11,857
23/05/2020,142,0,13597,0,857
24/05/2020,143,180,13777,6,863
25/05/2020,144,258,14035,5,868
26/05/2020,145,284,14319,5,873
27/05/2020,146,350,14669,13,886
28/05/2020,147,380,15049,18,904
29/05/2020,148,539,15588,17,921
30/05/2020,149,1046,16634,21,942
31/05/2020,150,1452,18086,15,957
01/06/2020,151,0,18086,0,957
02/06/2020,152,552,18638,3,960
03/06/2020,153,359,18997,6,966
04/06/2020,154,751,19748,8,974
05/06/2020,155,634,20382,10,984
06/06/2020,156,244,20626,3,987
07/06/2020,157,714,21340,7,994
08/06/2020,158,555,21895,9,1003
09/06/2020,159,579,22474,8,1011
10/06/2020,160,518,22992,6,1017
11/06/2020,161,740,23732,10,1027
12/06/2020,162,443,24175,9,1036
13/06/2020,163,612,24787,16,1052
14/06/2020,164,605,25392,22,1074
15/06/2020,165,538,25930,14,1088
